name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,brand,mobile,total_sales
wii sports,wii,2006.0,sports,41.36,28.96,3.77,8.45,76.0,80.0,everyone,nintendo,0,82.53999999999999
super mario bros.,nintendo_entertainment_system,1985.0,platform,29.08,3.58,6.81,0.77,,,na,nintendo,0,40.24
mario kart wii,wii,2008.0,racing,15.68,12.76,3.79,3.29,82.0,83.0,everyone,nintendo,0,35.519999999999996
wii sports resort,wii,2009.0,sports,15.61,10.93,3.28,2.95,80.0,80.0,everyone,nintendo,0,32.77
pokemon red/pokemon blue,gameboy,1996.0,role-playing,11.27,8.89,10.22,1.0,,,na,nintendo,1,31.380000000000003
tetris,gameboy,1989.0,puzzle,23.2,2.26,4.22,0.58,,,na,nintendo,1,30.259999999999998
new super mario bros.,ds,2006.0,platform,11.28,9.14,6.5,2.88,89.0,85.0,everyone,nintendo,1,29.8
wii play,wii,2006.0,misc,13.96,9.18,2.93,2.84,58.0,66.0,everyone,nintendo,0,28.91
new super mario bros. wii,wii,2009.0,platform,14.44,6.94,4.7,2.24,87.0,84.0,everyone,nintendo,0,28.32
duck hunt,nintendo_entertainment_system,1984.0,shooter,26.93,0.63,0.28,0.47,,,na,nintendo,0,28.31
nintendogs,ds,2005.0,simulation,9.05,10.95,1.93,2.74,,,na,nintendo,1,24.67
mario kart ds,ds,2005.0,racing,9.71,7.47,4.13,1.9,91.0,86.0,everyone,nintendo,1,23.209999999999997
pokemon gold/pokemon silver,gameboy,1999.0,role-playing,9.0,6.18,7.2,0.71,,,na,nintendo,1,23.09
wii fit,wii,2007.0,sports,8.92,8.03,3.6,2.15,80.0,77.0,everyone,nintendo,0,22.7
kinect adventures!,xbox_360,2010.0,misc,15.0,4.89,0.24,1.69,61.0,63.0,everyone,microsoft,0,21.82
wii fit plus,wii,2009.0,sports,9.01,8.49,2.53,1.77,80.0,74.0,everyone,nintendo,0,21.8
grand theft auto v,playstation_3,2013.0,action,7.02,9.09,0.98,3.96,97.0,82.0,mature,sony,0,21.05
grand theft auto: san andreas,playstation_2,2004.0,action,9.43,0.4,0.41,10.57,95.0,90.0,mature,sony,0,20.810000000000002
super mario world,super_nintendo_entertainment_system,1990.0,platform,12.78,3.75,3.54,0.55,,,na,nintendo,0,20.62
brain age: train your brain in minutes a day,ds,2005.0,misc,4.74,9.2,4.16,2.04,77.0,79.0,everyone,nintendo,1,20.14
pokemon diamond/pokemon pearl,ds,2006.0,role-playing,6.38,4.46,6.04,1.36,,,na,nintendo,1,18.24
super mario land,gameboy,1989.0,platform,10.83,2.71,4.18,0.42,,,na,nintendo,1,18.14
super mario bros. 3,nintendo_entertainment_system,1988.0,platform,9.54,3.44,3.84,0.46,,,na,nintendo,0,17.28
grand theft auto v,xbox_360,2013.0,action,9.66,5.14,0.06,1.41,97.0,81.0,mature,microsoft,0,16.27
grand theft auto: vice city,playstation_2,2002.0,action,8.41,5.49,0.47,1.78,95.0,87.0,mature,sony,0,16.150000000000002
pokemon ruby/pokemon sapphire,gameboy_advanced,2002.0,role-playing,6.06,3.9,5.38,0.5,,,na,nintendo,1,15.84
brain age 2: more training in minutes a day,ds,2005.0,puzzle,3.43,5.35,5.32,1.18,77.0,71.0,everyone,nintendo,1,15.28
pokemon black/pokemon white,ds,2010.0,role-playing,5.51,3.17,5.65,0.8,,,na,nintendo,1,15.13
gran turismo 3: a-spec,playstation_2,2001.0,racing,6.85,5.09,1.87,1.16,95.0,84.0,everyone,sony,0,14.969999999999999
call of duty: modern warfare 3,xbox_360,2011.0,shooter,9.04,4.24,0.13,1.32,88.0,34.0,mature,microsoft,0,14.73
pokémon yellow: special pikachu edition,gameboy,1998.0,role-playing,5.89,5.04,3.12,0.59,,,na,nintendo,1,14.64
call of duty: black ops 3,playstation_4,2015.0,shooter,6.03,5.86,0.36,2.38,,,na,sony,0,14.629999999999999
call of duty: black ops,xbox_360,2010.0,shooter,9.7,3.68,0.11,1.13,87.0,63.0,mature,microsoft,0,14.619999999999997
pokemon x/pokemon y,3ds,2013.0,role-playing,5.28,4.19,4.35,0.78,,,na,nintendo,1,14.6
call of duty: black ops ii,playstation_3,2012.0,shooter,4.99,5.73,0.65,2.42,83.0,53.0,mature,sony,0,13.790000000000001
call of duty: black ops ii,xbox_360,2012.0,shooter,8.25,4.24,0.07,1.12,83.0,48.0,mature,microsoft,0,13.68
call of duty: modern warfare 2,xbox_360,2009.0,shooter,8.52,3.59,0.08,1.28,94.0,63.0,mature,microsoft,0,13.469999999999999
call of duty: modern warfare 3,playstation_3,2011.0,shooter,5.54,5.73,0.49,1.57,88.0,32.0,mature,sony,0,13.33
grand theft auto iii,playstation_2,2001.0,action,6.99,4.51,0.3,1.3,97.0,85.0,mature,sony,0,13.100000000000001
super smash bros. brawl,wii,2008.0,fighting,6.62,2.55,2.66,1.01,93.0,89.0,teen,nintendo,0,12.84
mario kart 7,3ds,2011.0,racing,5.03,4.02,2.69,0.91,85.0,82.0,everyone,nintendo,1,12.65
call of duty: black ops,playstation_3,2010.0,shooter,5.99,4.37,0.48,1.79,88.0,64.0,mature,sony,0,12.629999999999999
grand theft auto v,playstation_4,2014.0,action,3.96,6.31,0.38,1.97,97.0,83.0,mature,sony,0,12.620000000000001
animal crossing: wild world,ds,2005.0,simulation,2.5,3.45,5.33,0.86,86.0,87.0,everyone,nintendo,1,12.14
halo 3,xbox_360,2007.0,shooter,7.97,2.81,0.13,1.21,94.0,78.0,mature,microsoft,0,12.120000000000001
super mario 64,nintendo_64,1996.0,platform,6.91,2.85,1.91,0.23,,,na,nintendo,0,11.9
pokemon heartgold/pokemon soulsilver,ds,2009.0,action,4.34,2.71,3.96,0.76,,,na,nintendo,1,11.77
pokemon omega ruby/pokemon alpha sapphire,3ds,2014.0,role-playing,4.35,3.49,3.1,0.74,,,na,nintendo,1,11.68
gran turismo 4,playstation_2,2004.0,racing,3.01,0.01,1.1,7.53,89.0,85.0,everyone,sony,0,11.649999999999999
super mario galaxy,wii,2007.0,platform,6.06,3.35,1.2,0.74,97.0,89.0,everyone,nintendo,0,11.35
super mario land 2: 6 golden coins,gameboy,1992.0,adventure,6.16,2.04,2.69,0.29,,,na,nintendo,1,11.179999999999998
